dt;weekday;holiday
2023-04-07;friday;Paixão de Cristo
2023-04-21;friday;Tiradentes
2023-05-01;monday;Dia do Trabalho
2023-06-08;thursday;Corpus Christi
2023-09-07;thursday;Independência do Brasil
2023-10-12;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2023-11-02;thursday;Finados
2023-11-15;wednesday;Proclamação da República
2023-12-25;monday;Natal
2024-01-01;monday;Confraternização Universal
2024-02-12;monday;Carnaval
2024-02-13;tuesday;Carnaval
2024-03-29;friday;Paixão de Cristo
2024-04-21;sunday;Tiradentes
2024-05-01;wednesday;Dia do Trabalho
2024-05-30;thursday;Corpus Christi
2024-09-07;saturday;Independência do Brasil
2024-10-12;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2024-11-02;saturday;Finados
2024-11-15;friday;Proclamação da República
2024-11-20;wednesday;Dia Nacional de Zumbi e da Consciência Negra
2024-12-25;wednesday;Natal
2025-01-01;wednesday;Confraternização Universal
2025-03-03;monday;Carnaval
2025-03-04;tuesday;Carnaval
2025-04-18;friday;Paixão de Cristo
2025-04-21;monday;Tiradentes
2025-05-01;thursday;Dia do Trabalho
2025-06-19;thursday;Corpus Christi
2025-09-07;sunday;Independência do Brasil
2025-10-12;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2025-11-02;sunday;Finados
2025-11-15;saturday;Proclamação da República
2025-11-20;thursday;Dia Nacional de Zumbi e da Consciência Negra
2025-12-25;thursday;Natal
2026-01-01;thursday;Confraternização Universal
2026-02-16;monday;Carnaval
2026-02-17;tuesday;Carnaval
2026-04-03;friday;Paixão de Cristo
2026-04-21;tuesday;Tiradentes
2026-05-01;friday;Dia do Trabalho
2026-06-04;thursday;Corpus Christi
2026-09-07;monday;Independência do Brasil
2026-10-12;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2026-11-02;monday;Finados
2026-11-15;sunday;Proclamação da República
2026-11-20;friday;Dia Nacional de Zumbi e da Consciência Negra
2026-12-25;friday;Natal
2027-01-01;friday;Confraternização Universal
2027-02-08;monday;Carnaval
2027-02-09;tuesday;Carnaval
2027-03-26;friday;Paixão de Cristo
2027-04-21;wednesday;Tiradentes
2027-05-01;saturday;Dia do Trabalho
2027-05-27;thursday;Corpus Christi
2027-09-07;tuesday;Independência do Brasil
2027-10-12;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2027-11-02;tuesday;Finados
2027-11-15;monday;Proclamação da República
2027-11-20;saturday;Dia Nacional de Zumbi e da Consciência Negra
2027-12-25;saturday;Natal
2028-01-01;saturday;Confraternização Universal
2028-02-28;monday;Carnaval
2028-02-29;tuesday;Carnaval
2028-04-14;friday;Paixão de Cristo
2028-04-21;friday;Tiradentes
2028-05-01;monday;Dia do Trabalho
2028-06-15;thursday;Corpus Christi
2028-09-07;thursday;Independência do Brasil
2028-10-12;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2028-11-02;thursday;Finados
2028-11-15;wednesday;Proclamação da República
2028-11-20;monday;Dia Nacional de Zumbi e da Consciência Negra
2028-12-25;monday;Natal
2029-01-01;monday;Confraternização Universal
2029-02-12;monday;Carnaval
2029-02-13;tuesday;Carnaval
2029-03-30;friday;Paixão de Cristo
2029-04-21;saturday;Tiradentes
2029-05-01;tuesday;Dia do Trabalho
2029-05-31;thursday;Corpus Christi
2029-09-07;friday;Independência do Brasil
2029-10-12;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2029-11-02;friday;Finados
2029-11-15;thursday;Proclamação da República
2029-11-20;tuesday;Dia Nacional de Zumbi e da Consciência Negra
2029-12-25;tuesday;Natal
2030-01-01;tuesday;Confraternização Universal
2030-03-04;monday;Carnaval
2030-03-05;tuesday;Carnaval
2030-04-19;friday;Paixão de Cristo
2030-04-21;sunday;Tiradentes
2030-05-01;wednesday;Dia do Trabalho
2030-06-20;thursday;Corpus Christi
2030-09-07;saturday;Independência do Brasil
2030-10-12;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2030-11-02;saturday;Finados
2030-11-15;friday;Proclamação da República
