dt;dia_semana;feriado
1713657600;domingo;Tiradentes
1714521600;quarta-feira;Dia do Trabalho
1717027200;quinta-feira;Corpus Christi
1725667200;sábado;Independência do Brasil
1728691200;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
1730505600;sábado;Finados
1731628800;sexta-feira;Proclamação da República
1732060800;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
1735084800;quarta-feira;Natal
1735689600;quarta-feira;Confraternização Universal
1740960000;segunda-feira;Carnaval
1741046400;terça-feira;Carnaval
1744934400;sexta-feira;Paixão de Cristo
1745193600;segunda-feira;Tiradentes
1746057600;quinta-feira;Dia do Trabalho
1750291200;quinta-feira;Corpus Christi
1757203200;domingo;Independência do Brasil
1760227200;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
1762041600;domingo;Finados
1763164800;sábado;Proclamação da República
1763596800;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
1766620800;quinta-feira;Natal
1767225600;quinta-feira;Confraternização Universal
1771200000;segunda-feira;Carnaval
1771286400;terça-feira;Carnaval
1775174400;sexta-feira;Paixão de Cristo
1776729600;terça-feira;Tiradentes
1777593600;sexta-feira;Dia do Trabalho
1780531200;quinta-feira;Corpus Christi
1788739200;segunda-feira;Independência do Brasil
1791763200;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1793577600;segunda-feira;Finados
1794700800;domingo;Proclamação da República
1795132800;sexta-feira;Dia Nacional de Zumbi e da Consciência Negra
1798156800;sexta-feira;Natal
1798761600;sexta-feira;Confraternização Universal
1802044800;segunda-feira;Carnaval
1802131200;terça-feira;Carnaval
1806019200;sexta-feira;Paixão de Cristo
1808265600;quarta-feira;Tiradentes
1809129600;sábado;Dia do Trabalho
1811376000;quinta-feira;Corpus Christi
1820275200;terça-feira;Independência do Brasil
1823299200;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1825113600;terça-feira;Finados
1826236800;segunda-feira;Proclamação da República
1826668800;sábado;Dia Nacional de Zumbi e da Consciência Negra
1829692800;sábado;Natal
1830297600;sábado;Confraternização Universal
1835308800;segunda-feira;Carnaval
1835395200;terça-feira;Carnaval
1839283200;sexta-feira;Paixão de Cristo
1839888000;sexta-feira;Tiradentes
1840752000;segunda-feira;Dia do Trabalho
1844640000;quinta-feira;Corpus Christi
1851897600;quinta-feira;Independência do Brasil
1854921600;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1856736000;quinta-feira;Finados
1857859200;quarta-feira;Proclamação da República
1858291200;segunda-feira;Dia Nacional de Zumbi e da Consciência Negra
1861315200;segunda-feira;Natal
1861920000;segunda-feira;Confraternização Universal
1865548800;segunda-feira;Carnaval
1865635200;terça-feira;Carnaval
1869523200;sexta-feira;Paixão de Cristo
1871424000;sábado;Tiradentes
1872288000;terça-feira;Dia do Trabalho
1874880000;quinta-feira;Corpus Christi
1883433600;sexta-feira;Independência do Brasil
1886457600;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1888272000;sexta-feira;Finados
1889395200;quinta-feira;Proclamação da República
1889827200;terça-feira;Dia Nacional de Zumbi e da Consciência Negra
1892851200;terça-feira;Natal
1893456000;terça-feira;Confraternização Universal
1898812800;segunda-feira;Carnaval
1898899200;terça-feira;Carnaval
1902787200;sexta-feira;Paixão de Cristo
1902960000;domingo;Tiradentes
1903824000;quarta-feira;Dia do Trabalho
1908144000;quinta-feira;Corpus Christi
1914969600;sábado;Independência do Brasil
1917993600;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
1919808000;sábado;Finados
1920931200;sexta-feira;Proclamação da República
1921363200;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
1924387200;quarta-feira;Natal
1924992000;quarta-feira;Confraternização Universal
1929657600;segunda-feira;Carnaval
1929744000;terça-feira;Carnaval
1933632000;sexta-feira;Paixão de Cristo
1934496000;segunda-feira;Tiradentes
1935360000;quinta-feira;Dia do Trabalho
1938988800;quinta-feira;Corpus Christi
1946505600;domingo;Independência do Brasil
1949529600;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
1951344000;domingo;Finados
1952467200;sábado;Proclamação da República
1952899200;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
1955923200;quinta-feira;Natal
1956528000;quinta-feira;Confraternização Universal
1959897600;segunda-feira;Carnaval
1959984000;terça-feira;Carnaval
1963872000;sexta-feira;Paixão de Cristo
1966118400;quarta-feira;Tiradentes
1966982400;sábado;Dia do Trabalho
1969228800;quinta-feira;Corpus Christi
1978128000;terça-feira;Independência do Brasil
1981152000;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1982966400;terça-feira;Finados
1984089600;segunda-feira;Proclamação da República
1984521600;sábado;Dia Nacional de Zumbi e da Consciência Negra
1987545600;sábado;Natal
1988150400;sábado;Confraternização Universal
1993161600;segunda-feira;Carnaval
1993248000;terça-feira;Carnaval
1997136000;sexta-feira;Paixão de Cristo
1997654400;quinta-feira;Tiradentes
1998518400;domingo;Dia do Trabalho
2002492800;quinta-feira;Corpus Christi
2009664000;quarta-feira;Independência do Brasil
